"Alan Tam & Hacken Lee",7082,1310,"Other Concerts"
"Alanis Morissette",16,1310,"Other Concerts"
"Alarm",6799,1310,"Other Concerts"
"Alasdair Fraser",8140,1310,"Other Concerts"
"Albert Cummings",10702,1310,"Other Concerts"
"Albert Hammond Jr",12454,1310,"Other Concerts"
"Albita",6549,1310,"Other Concerts"
"Alcoholica",12026,1314,"Rock"
"Alecia Nugent",10266,1310,"Other Concerts"
"Alejandra Guzman",1040,1310,"Other Concerts"
"Alejandro Escovedo",9246,1310,"Other Concerts"
"Alejandro Fernandez",18,1315,"World Concerts"
"Alejandro Markovich",9775,1310,"Other Concerts"
"Alejandro Sanz",1591,1315,"World Concerts"
"Alesana",11700,1310,"Other Concerts"
"Alex Bugnon",13102,1310,"Other Concerts"
"Alex Reymundo",12908,1310,"Other Concerts"
"Alex Under",13751,1310,"Other Concerts"
"Alexa Ray Joel",10986,1310,"Other Concerts"
"Alexander Pires",4670,1310,"Other Concerts"
"Alexi Murdoch",12294,1310,"Other Concerts"
"Alexis On Fire",4902,1310,"Other Concerts"
"Alfred Brendel",12825,1310,"Other Concerts"
"Alfred Howard",12004,1310,"Other Concerts"
"Algren",14130,1310,"Other Concerts"
"Alias & Tarsier",10527,1310,"Other Concerts"
"Alice Cooper",19,1310,"Other Concerts"
"Alice Cooper Birthday Bash",12403,1310,"Other Concerts"
"Alice in Chains",7614,1310,"Other Concerts"
"Alice Peacock",13000,1310,"Other Concerts"
"Alicia Keys",2032,1310,"Other Concerts"
"Alien Ant Farm",2585,1310,"Other Concerts"
"Alien Black",11603,1310,"Other Concerts"
"Alison Krauss",20,1306,"Country and Folk"
"Alison Moorer",9753,1310,"Other Concerts"
"Alive",9866,1310,"Other Concerts"
"Alkaline Trio",3489,1310,"Other Concerts"
"All 4 Real",9206,1310,"Other Concerts"
"All American Jam",10412,1310,"Other Concerts"
"All American Rejects",4004,1301,"Alternative Rock"
"All Shall Perish",11426,1310,"Other Concerts"
"All Star Acoustic Jam",8043,1310,"Other Concerts"
"All Star Bluegrass Celebration",2447,1310,"Other Concerts"
"All Star Comedy Jam",3048,1310,"Other Concerts"
"All Star Cruise Jam Session",10552,1310,"Other Concerts"
"All Star Holiday Jam",4990,1310,"Other Concerts"
"All Star Jam",4128,1310,"Other Concerts"
"All Star Jam After Party",6978,1310,"Other Concerts"
"All Star Jazz Review",976,1310,"Other Concerts"
"All Star Night at the Mansion",10155,1310,"Other Concerts"
"All That Music",23,1310,"Other Concerts"
"All That Remains",11783,1310,"Other Concerts"
"All the Pretty Horses",14843,1310,"Other Concerts"
"All Will Fall",13847,1310,"Other Concerts"
"Allan Holdsworth",12293,1310,"Other Concerts"
"Allie Sancher",13528,1310,"Other Concerts"
"Allister",5336,1310,"Other Concerts"
"Allman Brothers",24,1304,"Classic Rock"
"Almost Kiss",12466,1310,"Other Concerts"
"Almost Kiss & Seattle",10325,1310,"Other Concerts"
"Almost Queen",9821,1310,"Other Concerts"
"ALO: Animal Liberation Orchestra",12857,1310,"Other Concerts"
"Aloha",9247,1310,"Other Concerts"
"Aloha Live",5343,1310,"Other Concerts"
"Alpha Blondy",7466,1310,"Other Concerts"
"Alpha Male Gorillas",11798,1310,"Other Concerts"
"Altan",10291,1310,"Other Concerts"
"Alter Bridge",5693,1310,"Other Concerts"
"Alternative Wars Finals",10061,1310,"Other Concerts"
"Aly & AJ",9297,1311,"Pop"
"AM/FM",13611,1310,"Other Concerts"
"Amadou & Mariam",9630,1310,"Other Concerts"
"Amanda Marshall",2534,1310,"Other Concerts"
"Amanda Miguel",7726,1313,"R&B"
"Amanda Palmer",11403,1310,"Other Concerts"
